YEAR;MUN;INTENSITY_USE_DWELLINGS;CONCEPT;status;value
2021;170209;LWU_DW_EL_C_UND_250;DWELL;;28
2021;170209;OCCU_DW_EL_C_250_750;DWELL;;105
2021;170209;REGU_DW_EL_C_MORE_750;DWELL;;1865
2021;170209;TOTAL;DWELL;;2150
2021;080235;EMPT_DW_EL_C_MIN;DWELL;;375
2021;080235;LWU_DW_EL_C_UND_250;DWELL;;55
2021;080235;OCCU_DW_EL_C_250_750;DWELL;;238
2021;080235;REGU_DW_EL_C_MORE_750;DWELL;;3749
2021;080235;TOTAL;DWELL;;4417
2021;170221;EMPT_DW_EL_C_MIN;DWELL;;346
2021;170221;LWU_DW_EL_C_UND_250;DWELL;;125
2021;170221;OCCU_DW_EL_C_250_750;DWELL;;371
2021;170221;REGU_DW_EL_C_MORE_750;DWELL;;4260
2021;170221;TOTAL;DWELL;;5102
2021;430287;EMPT_DW_EL_C_MIN;DWELL;;635
2021;430287;LWU_DW_EL_C_UND_250;DWELL;;88
2021;430287;OCCU_DW_EL_C_250_750;DWELL;;252
2021;430287;REGU_DW_EL_C_MORE_750;DWELL;;1978
2021;430287;TOTAL;DWELL;;2953
2021;170237;EMPT_DW_EL_C_MIN;DWELL;;2671
2021;170237;LWU_DW_EL_C_UND_250;DWELL;;1334
2021;170237;OCCU_DW_EL_C_250_750;DWELL;;3619
2021;170237;REGU_DW_EL_C_MORE_750;DWELL;;17965
2021;170237;TOTAL;DWELL;;25589
2021;170255;EMPT_DW_EL_C_MIN;DWELL;;70
2021;170255;LWU_DW_EL_C_UND_250;DWELL;;8
2021;170255;OCCU_DW_EL_C_250_750;DWELL;;30
2021;170255;REGU_DW_EL_C_MORE_750;DWELL;;634
2021;170255;TOTAL;DWELL;;742
2021;250582;EMPT_DW_EL_C_MIN;DWELL;;413
2021;250582;LWU_DW_EL_C_UND_250;DWELL;;76
2021;250582;OCCU_DW_EL_C_250_750;DWELL;;252
2021;250582;REGU_DW_EL_C_MORE_750;DWELL;;2546
2021;250582;TOTAL;DWELL;;3287
2021;430311;EMPT_DW_EL_C_MIN;DWELL;;127
2021;430311;LWU_DW_EL_C_UND_250;DWELL;;46
2021;430311;OCCU_DW_EL_C_250_750;DWELL;;107
2021;430311;REGU_DW_EL_C_MORE_750;DWELL;;838
2021;430311;TOTAL;DWELL;;1118
2021;250595;EMPT_DW_EL_C_MIN;DWELL;;74
2021;250595;LWU_DW_EL_C_UND_250;DWELL;;48
2021;250595;OCCU_DW_EL_C_250_750;DWELL;;124
2021;250595;REGU_DW_EL_C_MORE_750;DWELL;;520
2021;250595;TOTAL;DWELL;;766
2021;430332;EMPT_DW_EL_C_MIN;DWELL;;42
2021;430332;LWU_DW_EL_C_UND_250;DWELL;;14
2021;430332;OCCU_DW_EL_C_250_750;DWELL;;64
2021;430332;REGU_DW_EL_C_MORE_750;DWELL;;470
2021;430332;TOTAL;DWELL;;590
2021;170274;EMPT_DW_EL_C_MIN;DWELL;;94
2021;170274;LWU_DW_EL_C_UND_250;DWELL;;48
2021;170274;OCCU_DW_EL_C_250_750;DWELL;;136
2021;170274;REGU_DW_EL_C_MORE_750;DWELL;;1549
2021;170274;TOTAL;DWELL;;1827
2021;080253;EMPT_DW_EL_C_MIN;DWELL;;91
2021;080253;LWU_DW_EL_C_UND_250;DWELL;;31
2021;080253;OCCU_DW_EL_C_250_750;DWELL;;100
2021;080253;REGU_DW_EL_C_MORE_750;DWELL;;984
2021;080253;TOTAL;DWELL;;1206
2021;080272;EMPT_DW_EL_C_MIN;DWELL;;24
2021;080272;LWU_DW_EL_C_UND_250;DWELL;;0
2021;080272;OCCU_DW_EL_C_250_750;DWELL;;12
2021;080272;REGU_DW_EL_C_MORE_750;DWELL;;339
2021;080272;TOTAL;DWELL;;375
2021;430363;EMPT_DW_EL_C_MIN;DWELL;;198
2021;430363;LWU_DW_EL_C_UND_250;DWELL;;42
2021;430363;OCCU_DW_EL_C_250_750;DWELL;;130
2021;430363;REGU_DW_EL_C_MORE_750;DWELL;;596
2021;430363;TOTAL;DWELL;;966
2021;080288;EMPT_DW_EL_C_MIN;DWELL;;211
2021;080288;LWU_DW_EL_C_UND_250;DWELL;;34
2021;080288;OCCU_DW_EL_C_250_750;DWELL;;103
2021;080288;REGU_DW_EL_C_MORE_750;DWELL;;812
2021;080288;TOTAL;DWELL;;1160
2021;080291;EMPT_DW_EL_C_MIN;DWELL;;277
2021;080291;LWU_DW_EL_C_UND_250;DWELL;;36
2021;080291;OCCU_DW_EL_C_250_750;DWELL;;154
2021;080291;REGU_DW_EL_C_MORE_750;DWELL;;1809
2021;080291;TOTAL;DWELL;;2276
2021;080305;EMPT_DW_EL_C_MIN;DWELL;;620
2021;080305;LWU_DW_EL_C_UND_250;DWELL;;22
2021;080305;OCCU_DW_EL_C_250_750;DWELL;;127
2021;080305;REGU_DW_EL_C_MORE_750;DWELL;;2701
2021;080305;TOTAL;DWELL;;3470
2021;170329;EMPT_DW_EL_C_MIN;DWELL;;819
2021;170329;LWU_DW_EL_C_UND_250;DWELL;;134
2021;170329;OCCU_DW_EL_C_250_750;DWELL;;422
2021;170329;REGU_DW_EL_C_MORE_750;DWELL;;2223
2021;170329;TOTAL;DWELL;;3598
2021;080312;EMPT_DW_EL_C_MIN;DWELL;;258
2021;080312;LWU_DW_EL_C_UND_250;DWELL;;54
2021;080312;OCCU_DW_EL_C_250_750;DWELL;;148
2021;080312;REGU_DW_EL_C_MORE_750;DWELL;;1447
2021;080312;TOTAL;DWELL;;1907
2021;430379;EMPT_DW_EL_C_MIN;DWELL;;3311
2021;430379;LWU_DW_EL_C_UND_250;DWELL;;1681
2021;430379;OCCU_DW_EL_C_250_750;DWELL;;5570
2021;430379;REGU_DW_EL_C_MORE_750;DWELL;;16550
2021;430379;TOTAL;DWELL;;27112
2021;080348;EMPT_DW_EL_C_MIN;DWELL;;43
2021;080348;LWU_DW_EL_C_UND_250;DWELL;;23
2021;080348;OCCU_DW_EL_C_250_750;DWELL;;47
2021;080348;REGU_DW_EL_C_MORE_750;DWELL;;470
2021;080348;TOTAL;DWELL;;583
2021;080327;EMPT_DW_EL_C_MIN;DWELL;;195
2021;080327;LWU_DW_EL_C_UND_250;DWELL;;63
2021;080327;OCCU_DW_EL_C_250_750;DWELL;;245
2021;080327;REGU_DW_EL_C_MORE_750;DWELL;;1376
2021;080327;TOTAL;DWELL;;1879
2021;170335;EMPT_DW_EL_C_MIN;DWELL;;502
2021;170335;LWU_DW_EL_C_UND_250;DWELL;;55
2021;170335;OCCU_DW_EL_C_250_750;DWELL;;256
2021;170335;REGU_DW_EL_C_MORE_750;DWELL;;3362
2021;170335;TOTAL;DWELL;;4175
2021;080333;EMPT_DW_EL_C_MIN;DWELL;;320
2021;080333;LWU_DW_EL_C_UND_250;DWELL;;105
2021;080333;OCCU_DW_EL_C_250_750;DWELL;;343
2021;080333;REGU_DW_EL_C_MORE_750;DWELL;;6940
2021;080333;TOTAL;DWELL;;7708
